MINUTES,AMT,numOfTransactions,fraudPerGroup
240,15.95,41,0
35,1,38,0
1287,1,37,0
1680,15.95,37,0
1622,15.95,36,0
1680,39,35,0
558,14.95,35,0
241,14.95,32,0
1384,1,32,0
1624,39,32,0
1681,39,32,0
1623,39,31,0
154,0.01,31,0
852,1,31,0
1594,0.01,30,0
1891,1,30,0
1916,1,30,0
1890,1,29,0
156,0.01,29,0
184,14.95,28,0
1591,0.01,28,0
1592,0.01,28,0
1623,14.95,28,0
1624,14.95,28,0
1681,14.95,28,0
2561,1,28,0
2562,1,27,0
50,1,27,0
2726,1,27,0
1418,1,27,0
1124,1,27,0
153,0.01,26,0
155,0.01,26,0
331,20,26,0
1893,1,26,0
2560,1,26,0
1501,1.98,26,0
1129,1,25,0
51,1,25,0
183,14.95,25,0
1892,1,24,0
1920,9.99,24,0
1463,5,24,0
1464,1,24,0
1130,1,23,0
240,14.95,23,0
2559,1,23,0
1406,1,22,0
1464,5,22,0
1466,5,22,0
1466,1,22,0
1502,1.98,21,0
1682,14.95,21,0
2559,2,21,0
2563,1,21,0
1872,1,21,0
1128,1,21,0
25,5,21,0
34,1,21,0
52,1,21,0
240,39,21,0
182,14.95,20,0
1463,1,20,0
1465,1,20,0
1593,0.01,20,0
1123,1,20,0
1127,1,19,0
1833,1,19,0
1459,5,19,0
1590,0.01,19,0
1622,39,19,0
1417,1,18,0
1459,1,18,0
1566,36,18,0
1622,14.95,18,0
1126,2,18,0
2719,7.56,18,0
2719,1.51,18,0
1298,1,17,0
1461,5,17,0
56,1,17,0
1231,259,17,0
1128,2,16,0
1465,5,16,0
2712,1,16,0
24,5,16,0
49,1,16,0
224,9,16,0
319,11.85,16,0
1831,1,16,0
2247,16.92,16,0
1328,1,15,0
1131,1,15,0
1889,1,15,0
1906,1,15,0
1913,1,15,0
2716,1,15,0
184,39,15,0
530,1,14,0
1262,1,14,0
1452,1,14,0
1503,1.98,14,0
2709,1,14,0
1126,1,14,0
1936,29,14,0
25,1,13,0
157,0.01,13,0
182,39,13,0
359,11.85,13,0
480,24.99,13,0
2301,1,13,0
2360,1,13,0
994,1,13,0
1012,1,13,0
1127,2,13,0
1329,1,13,0
1501,8.99,13,0
1595,0.01,13,0
1664,9,13,0
1680,14.95,13,0
2708,1,13,0
2758,1,13,0
2424,1,12,0
17,158,12,0
20,1,12,0
26,5,12,0
242,15.95,12,0
338,11.85,12,0
370,11.85,12,0
2022,7.95,12,0
2558,1,12,0
2561,2,12,0
1268,1,12,0
1451,1,12,0
1502,8.99,12,0
1504,1.98,12,0
816,1,12,0
1125,1,12,0
1129,2,12,0
1177,1,12,0
1242,1,12,0
1051,1,11,0
1210,1,11,0
2224,10,11,0
2294,1,11,0
2314,1,11,0
2392,1,11,0
2700,1,11,0
2713,1.98,11,0
2845,0.76,11,0
20,160,11,0
22,5,11,0
23,5,11,0
26,1,11,0
312,11.85,11,0
325,11.85,11,0
330,11.85,11,0
331,11.85,11,0
372,11.85,11,0
377,11.85,11,0
570,1,11,0
585,1,11,0
640,1,11,0
706,1,11,0
719,0.76,11,0
721,1,11,0
910,9.95,11,0
2489,1,11,0
2557,1.98,11,0
2593,9.99,11,0
2656,1.98,11,0
1256,1,11,0
1283,1,11,0
1303,1,11,0
1311,1,11,0
1354,1.98,11,0
1453,1,11,0
1665,9,11,0
1682,39,11,0
1253,1,10,0
1259,1,10,0
1285,1,10,0
1294,1,10,0
1305,1.98,10,0
1341,1,10,0
1343,1,10,0
1451,8,10,0
1460,5,10,0
1460,1,10,0
1461,1,10,0
1500,1.98,10,0
1630,9.99,10,0
2763,1,10,0
2793,0.89,10,0
2819,1,10,0
2836,0.89,10,0
2842,9.99,10,0
1023,1,10,0
1070,1,10,0
1078,1,10,0
1101,1,10,0
1146,1,10,0
1210,1.98,10,0
1211,1,10,0
1832,2.12,10,0
1871,0.87,10,0
2027,1,10,0
2060,1,10,0
2203,1,10,0
2211,15,10,0
2223,1,10,0
2240,1,10,0
2268,1,10,0
2340,1,10,0
2365,1,10,0
2418,0.89,10,0
2460,8.99,10,0
2484,1.98,10,0
2513,1,10,0
2554,1,10,0
2560,2,10,0
2585,1,10,0
2610,1.98,10,0
15,158,10,0
189,9.99,10,0
356,11.85,10,0
368,11.85,10,0
583,1,10,0
645,1,10,0
686,1,10,0
718,1,10,0
808,12.36,10,0
832,1,10,0
834,1,10,0
838,1,10,0
873,1,10,0
885,1,10,0
923,1,10,0
996,1.98,10,0
705,1,9,0
715,1,9,0
730,1,9,0
741,1,9,0
746,1,9,0
747,1,9,0
754,1,9,0
833,1,9,0
836,9.46,9,0
837,1,9,0
840,1,9,0
847,1,9,0
870,1,9,0
989,1,9,0
1958,1,9,0
2012,31,9,0
2013,1,9,0
2021,90,9,0
2022,9.95,9,0
2022,14.95,9,0
2078,1,9,0
2101,1,9,0
2189,1,9,0
2711,0.89,9,0
2732,1,9,0
2745,1.98,9,0
2752,1.98,9,0
2753,1,9,0
2782,1.98,9,0
1257,1,9,0
1264,1,9,0
1300,1.98,9,0
1332,1.98,9,0
1335,0.89,9,0
1349,1,9,0
1355,0.89,9,0
1386,1,9,0
1001,1,9,0
1047,1,9,0
1060,1,9,0
1146,1.98,9,0
1151,1,9,0
1171,1,9,0
1199,1,9,0
18,1,9,0
321,11.85,9,0
333,11.85,9,0
347,11.85,9,0
348,11.85,9,0
357,11.85,9,0
369,11.85,9,0
379,89.99,9,0
537,1,9,0
558,19.95,9,0
559,1,9,0
581,1,9,0
589,1,9,0
635,1,9,0
654,1,9,0
684,1,9,0
2195,1,9,0
2234,10,9,0
2240,9.99,9,0
2260,1,9,0
2269,1,9,0
2285,1,9,0
2318,1,9,0
2322,1,9,0
2326,1,9,0
2333,1,9,0
2336,1,9,0
2345,1,9,0
2349,1,9,0
2386,1,9,0
2402,1,9,0
2407,9.39,9,0
2426,1,9,0
2437,1,9,0
2516,1,9,0
2539,1,9,0
2541,64.96,9,0
2563,2,9,0
2566,1,9,0
2579,1,9,0
2599,1,9,0
2602,1,9,0
2605,1.98,9,0
2632,1.98,9,0
2646,1,9,0
2650,1,9,0
2669,1.98,9,0
2456,1,8,0
2458,1,8,0
2461,1,8,0
2462,1,8,0
2467,0.76,8,0
2471,1,8,0
2475,1,8,0
2490,1.98,8,0
2496,1.98,8,0
2500,1,8,0
2500,9.99,8,0
2502,1,8,0
2503,1.98,8,0
2510,15,8,0
2512,1.29,8,0
2513,1.98,8,0
2521,1,8,0
2525,1.98,8,0
2557,1,8,0
2570,1,8,0
2587,9.99,8,0
2600,1,8,0
2603,1,8,0
2617,1,8,0
2618,1,8,0
2620,1,8,0
2624,1.98,8,0
2625,1,8,0
2627,1.98,8,0
2634,1.98,8,0
2660,9.99,8,0
2672,9.99,8,0
2675,1,8,0
2686,1,8,0
2696,1.98,8,0
1246,1,8,0
1249,1,8,0
1265,1,8,0
1267,0.89,8,0
1267,1,8,0
1272,1,8,0
1273,1,8,0
1274,1,8,0
1275,1,8,0
1277,1,8,0
1279,1,8,0
1301,1,8,0
1303,1.98,8,0
1309,1,8,0
1313,1,8,0
1318,1,8,0
1324,0.89,8,0
1339,1,8,0
1340,1.98,8,0
1362,1.98,8,0
1371,1.98,8,0
1376,1,8,0
1452,160,8,0
1505,1.98,8,0
1568,1.5,8,0
1682,15.95,8,0
1748,2.12,8,0
1955,1,8,0
2017,1,8,0
2030,1,8,0
2042,1,8,0
2044,1,8,0
2047,1,8,0
2047,9.99,8,0
2056,1,8,0
2085,1.98,8,0
2091,1,8,0
2102,1,8,0
2135,1,8,0
2137,1,8,0
2175,1,8,0
2185,1,8,0
711,1,8,0
768,1,8,0
810,1,8,0
820,1,8,0
828,1,8,0
831,1,8,0
843,1,8,0
846,1.98,8,0
872,1,8,0
874,1,8,0
880,1,8,0
890,1,8,0
893,1,8,0
901,1,8,0
918,1,8,0
959,1,8,0
964,1,8,0
974,1,8,0
980,1,8,0
981,1,8,0
991,1,8,0
2703,1,8,0
2705,1,8,0
2718,1,8,0
2731,1.98,8,0
2748,1,8,0
2766,1.98,8,0
2771,0.89,8,0
2774,1,8,0
2788,1.98,8,0
2798,0.89,8,0
2802,1.98,8,0
2193,1,8,0
2196,1,8,0
2197,1,8,0
2215,1,8,0
2217,1,8,0
2225,10,8,0
2232,10,8,0
2236,1.98,8,0
2237,1,8,0
2246,10,8,0
2250,1,8,0
2265,1,8,0
2270,1,8,0
2281,1,8,0
2282,1,8,0
2291,1,8,0
2307,1,8,0
2319,1,8,0
2324,1,8,0
2331,1,8,0
2345,15,8,0
2348,1,8,0
2362,9.99,8,0
2371,1,8,0
2382,1,8,0
2399,1,8,0
2423,1,8,0
2429,1,8,0
1026,8.99,8,0
1027,1,8,0
1032,1,8,0
1034,1,8,0
1039,1.98,8,0
1045,1,8,0
1053,1,8,0
1057,1,8,0
1063,1,8,0
1081,1,8,0
1082,1,8,0
1088,9.99,8,0
1089,1.98,8,0
1120,1,8,0
1125,4,8,0
1130,4,8,0
1132,1,8,0
1134,1.98,8,0
1162,1,8,0
1170,1,8,0
1183,1,8,0
1200,1,8,0
1213,1,8,0
1225,0.89,8,0
1236,1,8,0
15,1,8,0
17,1,8,0
18,160,8,0
21,5,8,0
23,1,8,0
62,5,8,0
126,2,8,0
311,11.85,8,0
313,11.85,8,0
318,11.85,8,0
322,11.85,8,0
324,11.85,8,0
335,11.85,8,0
340,11.85,8,0
344,11.85,8,0
354,11.85,8,0
363,11.85,8,0
367,11.85,8,0
374,11.85,8,0
380,11.85,8,0
381,11.85,8,0
383,11.85,8,0
480,1,8,0
549,1,8,0
558,4.95,8,0
560,1,8,0
566,1,8,0
609,1,8,0
620,1,8,0
626,1,8,0
637,1,8,0
638,1,8,0
644,1,8,0
667,1,8,0
670,1,8,0
674,1,8,0
682,1,8,0
687,1,8,0
690,1,8,0
14,1,7,0
22,1,7,0
62,15,7,0
303,11.85,7,0
307,11.85,7,0
339,11.85,7,0
345,11.85,7,0
351,11.85,7,0
355,11.85,7,0
361,11.85,7,0
361,17.95,7,0
362,11.85,7,0
365,11.85,7,0
371,11.85,7,0
375,11.85,7,0
376,11.85,7,0
438,8.99,7,0
525,1,7,0
529,1,7,0
553,0.76,7,0
558,1,7,0
558,22.95,7,0
561,1,7,0
562,1,7,0
572,1,7,0
593,1,7,0
596,1,7,0
599,1,7,0
602,1,7,0
608,1,7,0
629,1,7,0
663,1,7,0
664,1,7,0
669,1,7,0
676,1,7,0
681,1,7,0
720,1,7,0
730,9.99,7,0
733,1.98,7,0
736,1,7,0
741,0.76,7,0
750,1,7,0
751,1,7,0
756,1,7,0
765,9.99,7,0
798,1,7,0
811,1,7,0
852,15,7,0
854,9.99,7,0
857,1,7,0
858,1,7,0
863,1,7,0
863,1.98,7,0
869,1,7,0
873,1.98,7,0
879,6.18,7,0
882,1,7,0
886,39.9,7,0
886,1,7,0
889,1,7,0
892,1,7,0
893,1.98,7,0
897,1,7,0
899,1,7,0
907,1,7,0
908,1,7,0
928,4.78,7,0
930,1,7,0
949,1,7,0
960,1,7,0
968,1.98,7,0
972,1,7,0
973,1,7,0
979,1,7,0
979,34.99,7,0
1252,1,7,0
1256,1.98,7,0
1281,9.99,7,0
1282,0.89,7,0
1285,0.89,7,0
1291,1,7,0
1300,9.99,7,0
1307,1,7,0
1310,1.98,7,0
1312,1,7,0
1314,3.78,7,0
1316,1,7,0
1320,72,7,0
1321,0.89,7,0
1330,1,7,0
1338,1.98,7,0
1340,1,7,0
1344,1,7,0
1347,1,7,0
1355,1.79,7,0
1356,1,7,0
1394,0.89,7,0
1401,1.98,7,0
1420,0.89,7,0
1453,0.89,7,0
1503,8.99,7,0
1630,4.99,7,0
1760,2.12,7,0
1764,2.12,7,0
1765,11.27,7,0
1767,11.27,7,0
1778,11.27,7,0
1780,11.27,7,0
1814,2.12,7,0
2459,1.98,7,0
2461,8.99,7,0
2464,1,7,0
2472,1,7,0
2473,1,7,0
2480,1,7,0
2481,9.99,7,0
2483,1,7,0
2485,1.98,7,0
2485,1,7,0
2489,8.99,7,0
2491,1,7,0
2491,1.98,7,0
2496,1,7,0
2499,1,7,0
2501,9.99,7,0
2512,1,7,0
2512,9.99,7,0
2516,15,7,0
2518,1,7,0
2525,1,7,0
2526,0.89,7,0
2526,1.98,7,0
2538,1.98,7,0
2543,1.98,7,0
2549,1,7,0
2553,1,7,0
2562,2,7,0
2563,1.98,7,0
2564,1,7,0
2565,15,7,0
2569,9.99,7,0
2571,1,7,0
2574,1.98,7,0
2577,1,7,0
2578,1,7,0
2590,9.99,7,0
2604,0.89,7,0
2630,1,7,0
2634,0.89,7,0
2643,1.98,7,0
2644,1.98,7,0
2647,1.98,7,0
2649,0.99,7,0
2656,9.99,7,0
2663,9.99,7,0
2667,1,7,0
2671,259,7,0
2673,1,7,0
2674,1,7,0
2677,1,7,0
2680,1.98,7,0
2686,1.98,7,0
2687,0.89,7,0
2688,0.89,7,0
1950,1,7,0
1960,1,7,0
1986,1,7,0
1987,1,7,0
2013,31,7,0
2018,1,7,0
2019,90,7,0
2028,1,7,0
2034,1,7,0
2058,1,7,0
2096,1,7,0
2105,1,7,0
2107,1,7,0
2116,9.99,7,0
2122,1,7,0
2125,1,7,0
2130,1,7,0
2136,1,7,0
2167,1,7,0
2168,1,7,0
2183,1,7,0
1006,1,7,0
1013,0.89,7,0
1025,9.99,7,0
1029,1.98,7,0
1042,8.99,7,0
1043,8.99,7,0
1048,1.98,7,0
1050,1.98,7,0
1060,8.99,7,0
1061,1,7,0
1067,1,7,0
1071,1,7,0
1076,1.98,7,0
1079,1,7,0
1082,9.99,7,0
1105,15,7,0
1109,1,7,0
1123,2,7,0
1124,4,7,0
1125,9.99,7,0
1129,3,7,0
1134,1,7,0
1139,1,7,0
1140,1,7,0
1141,9.99,7,0
1143,1,7,0
1145,1,7,0
1145,1.98,7,0
1165,1,7,0
1166,0.89,7,0
1169,1,7,0
1180,1.98,7,0
1195,1,7,0
1196,1,7,0
1198,1,7,0
1201,1,7,0
1202,1,7,0
1209,1,7,0
1216,1,7,0
1216,1.98,7,0
1218,0.89,7,0
1219,1.98,7,0
1222,1,7,0
1223,0.89,7,0
1228,1.98,7,0
1229,9.99,7,0
1230,1,7,0
1231,225,7,0
1238,1,7,0
1242,1.98,7,0
2698,1.98,7,0
2705,1.98,7,0
2706,1.98,7,0
2707,1,7,0
2708,9.99,7,0
2709,0.89,7,0
2713,1,7,0
2725,1.98,7,0
2730,1.98,7,0
2742,1,7,0
2754,1.98,7,0
2765,1.98,7,0
2767,1.98,7,0
2772,1,7,0
2773,1,7,0
2778,9.99,7,0
2780,9.99,7,0
2808,0.89,7,0
2811,1.98,7,0
2849,0.89,7,0
2865,1.98,7,0
2190,1,7,0
2206,1,7,0
2213,1,7,0
2222,1,7,0
2232,1,7,0
2233,10,7,0
2237,10,7,0
2240,10,7,0
2247,28.19,7,0
2248,1,7,0
2254,1,7,0
2292,1,7,0
2302,1,7,0
2313,1,7,0
2317,1,7,0
2323,1,7,0
2328,1,7,0
2329,1,7,0
2331,1.98,7,0
2337,1,7,0
2346,10,7,0
2347,1,7,0
2353,1,7,0
2359,1,7,0
2370,1,7,0
2376,1,7,0
2378,1,7,0
2388,1.79,7,0
2395,1.98,7,0
2396,1,7,0
2398,1,7,0
2400,8.99,7,0
2405,1,7,0
2409,0.76,7,0
2409,1,7,0
2410,0.76,7,0
